Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,INFRATEL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,ZEEL.NS
2000-01-03,,,0.9766234755516052,,,,,,0.4313232004642487,11.344855308532715,69.20791625976561,,311.673095703125,33.51733016967773,1.5374549627304075,,,,5.655241012573242,,,18.83797645568848,137.05963134765622,,,4.033967971801759,0.03475373983383179,0.0007390093524008988,,,,5.958352565765381,,,,0.10199634730815887,,16.319162368774414,1.0908442735671997,,1.9632283449172971,13.432802200317385,39.09160614013672,,,-0.13960160315036774,,,26.71387481689453,
2000-01-04,,,1.0143312215805054,,,,,,0.40026402473449707,11.30963134765625,69.58309936523439,,336.615234375,35.26695251464844,1.4848551750183103,,,,5.78165340423584,,,19.552459716796875,135.48562622070312,,,4.351701736450194,0.033926110714674,0.0007430271944031119,,,,6.435429573059082,,,,0.09869903326034546,,17.625606536865234,1.1600136756896973,,1.9369027614593504,12.902939796447756,38.66849899291992,,,-0.1321597695350647,,,28.851078033447266,
2000-01-05,,,0.9879359602928162,,,,,,0.3888659477233887,11.021100997924805,68.14891815185547,,324.0313415527344,38.11438369750977,1.4143637418746948,,,,5.553778648376465,,,21.116046905517575,130.6656494140625,,,4.003565311431885,0.03352838009595871,0.0007574749179184438,,,,6.766631126403809,,,,0.10660741478204727,,18.316133499145508,1.112334966659546,,1.8689212799072263,13.215896606445312,40.14290618896485,,,-0.124090313911438,,,29.321250915527344,
2000-01-06,,,0.963425874710083,,,,,,0.4108518958091736,11.775774955749512,64.38780212402344,,343.35272216796875,41.16764831542969,1.453524470329285,,,,5.598688125610352,,,22.76868438720703,135.91029357910156,,,3.683286905288696,0.03337441012263298,0.0008180763106793165,,,,6.894117832183838,,,,0.10479173809289932,,19.08439826965332,1.168521523475647,,1.867098331451416,13.76438808441162,43.14307403564453,,,-0.1340426355600357,,,28.75380706787109,
2000-01-07,,,0.9162918329238892,,,,,,0.4103656113147736,12.717805862426758,59.24475860595703,,315.9820251464844,44.35814666748047,1.402058243751526,,,,5.600351333618164,,,23.77848815917969,143.3199462890625,,,3.3886163234710693,0.033932577818632126,0.0008835265180096029,,,,6.524148464202881,,,,0.1030951365828514,,20.394079208374023,1.2235883474349976,,1.7177382707595823,14.867509841918945,44.091796875,,,-0.1312183290719986,,,26.45395088195801,
2000-01-10,,,0.9445725083351136,,,,,,0.4158754348754883,13.67257595062256,57.26684951782226,,310.77459716796875,44.94135665893555,1.394216537475586,,,,5.518849849700928,,,22.213823318481445,144.40695190429688,,,3.55173134803772,0.03225161507725716,0.0009542478946968912,,,,6.5346641540527335,,,,0.1001087725162506,,20.001853942871094,1.2065771818161009,,1.6388453245162964,16.041913986206055,46.73284530639648,,,-0.12991824746131894,,,26.48977470397949,
2000-01-11,,,0.8974380493164062,,,,,,0.40274924039840704,12.796496391296387,52.91449356079102,,298.933837890625,42.26546478271485,1.3382747173309326,,,,5.435686111450195,,,21.56992530822754,147.64697265625,,,3.2675981521606445,0.030763274058699608,0.0009217573679052293,,,,7.002552509307861,,,,0.0932277888059616,,18.705120086669922,1.1100951433181765,,1.6124790906906128,14.759041786193848,43.002037048339844,,,-0.1264214813709259,,,24.372543334960934,
2000-01-12,,,0.9012088179588318,,,,,,0.4083665907382965,13.230416297912598,57.14812088012695,,308.08819580078125,43.87786102294922,1.3774350881576538,,,,5.503880500793457,,,21.094335556030273,157.26918029785156,,,3.3762245178222656,0.03322691097855568,0.0009266060660593213,,,,6.443314075469972,,,,0.0966205671429634,,19.56097984313965,1.0957697629928589,,1.5159761905670166,14.889177322387695,42.38661193847656,,,-0.1326080560684204,,,25.132007598876953,
2000-01-13,,,0.8898963332176208,,,,,,0.4062054455280304,13.210929870605467,61.59546279907226,,305.3084411621094,42.02531051635742,1.3841546773910522,,,,5.492237567901611,,,21.19205474853516,165.5163116455078,,,3.121433734893799,0.03496545180678368,0.0009176363237202168,,,,6.558321475982666,,,,0.09501943737268448,,20.219030380249023,1.0946497917175293,,1.5967475175857544,14.591713905334473,40.82246398925781,,,-0.13345983624458313,,,24.32155036926269,
2000-01-14,,,0.8823550343513489,,,,,,0.4044774174690247,13.034814834594727,60.81901550292969,,304.4925537109375,42.78005599975586,1.3975824117660522,,,,5.503880500793457,,,20.502552032470703,160.4943389892578,,,3.143584489822388,0.035549327731132514,0.0009257708443328738,,,,6.82118034362793,,,,0.09289322793483734,,20.507572174072266,1.0709198713302612,,1.6885957717895508,14.814828872680664,40.69421005249024,,,-0.12955960631370544,,,24.494140625,
